name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie
Eddie Redmayne,1982,,,White,,Straight,2015,Best Actor,The Theory of Everything
J.K. Simmons,1955,,,White,,Straight,2015,Best Supporting Actor,Whiplash
Julianne Moore,1960,,,White,,Straight,2015,Best Actress,Still Alice
Patricia Arquette,1968,,,White,,Straight,2015,Best Supporting Actress,Boyhood
Alejandro G. Iñárritu,1963,,,White,,Straight,2015,Best Director,Birdman or (The Unexpected Virtue of Ignorance)
Leonardo DiCaprio,1974,,,White,,Straight,2016,Best Actor,The Revenant
Mark Rylance,1960,,,White,,Straight,2016,Best Supporting Actor,Bridge of Spies
Brie Larson,1989,,,White,,Straight,2016,Best Actress,Room
Alicia Vikander,1988,,,White,,Straight,2016,Best Supporting Actress,The Danish Girl
Alejandro G. Iñárritu,1963,,,White,,Straight,2016,Best Director,The Revenant
Casey Affleck,1975,,,White,,Straight,2017,Best Actor,Manchester by the Sea
Mahershala Ali,1974,,,Black,,Straight,2017,Best Supporting Actor,Moonlight
Emma Stone,1988,,,White,,Straight,2017,Best Actress,La La Land
Viola Davis,1965,,,Black,,Straight,2017,Best Supporting Actress,Fences
Damien Chazelle,1985,,,White,,Straight,2017,Best Director,La La Land
Gary Oldman,1958,,,White,,Straight,2018,Best Actor,Darkest Hour
Sam Rockwell,1968,,,White,,Straight,2018,Best Supporting Actor,"Three Billboards outside Ebbing, Missouri"
Frances McDormand,1957,,,White,,Straight,2018,Best Actress,"Three Billboards outside Ebbing, Missouri"
Allison Janney,1959,,,White,,Straight,2018,Best Supporting Actress,"I, Tonya"
Guillermo del Toro,1964,,,White,,Straight,2018,Best Director,The Shape of Water
Rami Malek,1981,,,White,,Straight,2019,Best Actor,Bohemian Rhapsody
Mahershala Ali,1974,,,Black,,Straight,2019,Best Supporting Actor,Green Book
Olivia Colman,1974,,,White,,Straight,2019,Best Actress,The Favourite
Regina King,1971,,,Black,,Straight,2019,Best Supporting Actress,If Beale Street Could Talk
Alfonso Cuarón,1961,,,White,,Straight,2019,Best Director,Roma
Joaquin Phoenix,1974,,,White,,Straight,2020,Best Actor,Joker
Brad Pitt,1963,,,White,,Straight,2020,Best Supporting Actor,Once upon a Time...in Hollywood
Renée Zellweger,1969,,,White,,Straight,2020,Best Actress,Judy
Laura Dern,1967,,,White,,Straight,2020,Best Supporting Actress,Marriage Story
Bong Joon Ho,1969,,,Asian,,Straight,2020,Best Director,Parasite
Anthony Hopkins,1937,,,White,,Straight,2021,Best Actor,The Father
Daniel Kaluuya,1989,,,Black,,Straight,2021,Best Supporting Actor,Judas and the Black Messiah
Frances McDormand,1957,,,White,,Straight,2021,Best Actress,Nomadland
Yuh-Jung Youn,1947,,,Asian,,Straight,2021,Best Supporting Actress,Minari
Chloé Zhao,1982,,,Asian,,Straight,2021,Best Director,Nomadland
Will Smith,1968,,,Black,,Straight,2022,Best Actor,King Richard
Troy Kotsur,1968,,,White,,Straight,2022,Best Supporting Actor,CODA
Jessica Chastain,1977,,,White,,Straight,2022,Best Actress,The Eyes of Tammy Faye
Ariana DeBose,1991,,,Black,,Bisexual,2022,Best Supporting Actress,West Side Story
Jane Campion,1954,,,White,,Straight,2022,Best Director,The Power of the Dog
Brendan Fraser,1968,,,White,,Straight,2023,Best Actor,The Whale
Ke Huy Quan,1971,,,Asian,,Straight,2023,Best Supporting Actor,Everything Everywhere All at Once
Michelle Yeoh,1962,,,Asian,,Straight,2023,Best Actress,Everything Everywhere All at Once
Jamie Lee Curtis,1958,,,White,,Straight,2023,Best Supporting Actress,Everything Everywhere All at Once
Daniel Kwan,1988,,,Asian,,Straight,2023,Best Director,Everything Everywhere All at Once
Daniel Scheinert,1987,,,White,,Straight,2023,Best Director,Everything Everywhere All at Once
Cillian Murphy,1976,,,White,,Straight,2024,Best Actor,Oppenheimer
Robert Downey Jr.,1965,,,White,,Straight,2024,Best Supporting Actor,Oppenheimer
Emma Stone,1988,,,White,,Straight,2024,Best Actress,Poor Things
Da'Vine Joy Randolph,1986,,,Black,,Straight,2024,Best Supporting Actress,The Holdovers
Christopher Nolan,1970,,,White,,Straight,2024,Best Director,Oppenheimer
