name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie
Eddie Redmayne,,,,,,,2015,Best Actor,The Theory of Everything
J.K. Simmons,,,,,,,2015,Best Supporting Actor,Whiplash
Julianne Moore,,,,,,,2015,Best Actress,Still Alice
Patricia Arquette,,,,,,,2015,Best Supporting Actress,Boyhood
Alejandro G. Iñárritu,,,,,,,2015,Best Director,Birdman or (The Unexpected Virtue of Ignorance)
Leonardo DiCaprio,,,,,,,2016,Best Actor,The Revenant
Mark Rylance,,,,,,,2016,Best Supporting Actor,Bridge of Spies
Brie Larson,,,,,,,2016,Best Actress,Room
Alicia Vikander,,,,,,,2016,Best Supporting Actress,The Danish Girl
Alejandro G. Iñárritu,,,,,,,2016,Best Director,The Revenant
Casey Affleck,,,,,,,2017,Best Actor,Manchester by the Sea
Mahershala Ali,,,,,,,2017,Best Supporting Actor,Moonlight
Emma Stone,,,,,,,2017,Best Actress,La La Land
Viola Davis,,,,,,,2017,Best Supporting Actress,Fences
Damien Chazelle,,,,,,,2017,Best Director,La La Land
Gary Oldman,,,,,,,2018,Best Actor,Darkest Hour
Sam Rockwell,,,,,,,2018,Best Supporting Actor,"Three Billboards outside Ebbing, Missouri"
Frances McDormand,,,,,,,2018,Best Actress,"Three Billboards outside Ebbing, Missouri"
Allison Janney,,,,,,,2018,Best Supporting Actress,"I, Tonya"
Guillermo del Toro,,,,,,,2018,Best Director,The Shape of Water
Rami Malek,,,,,,,2019,Best Actor,Bohemian Rhapsody
Mahershala Ali,,,,,,,2019,Best Supporting Actor,Green Book
Olivia Colman,,,,,,,2019,Best Actress,The Favourite
Regina King,,,,,,,2019,Best Supporting Actress,If Beale Street Could Talk
Alfonso Cuarón,,,,,,,2019,Best Director,Roma
Joaquin Phoenix,,,,,,,2020,Best Actor,Joker
Brad Pitt,,,,,,,2020,Best Supporting Actor,Once upon a Time...in Hollywood
Renée Zellweger,,,,,,,2020,Best Actress,Judy
Laura Dern,,,,,,,2020,Best Supporting Actress,Marriage Story
Bong Joon Ho,,,,,,,2020,Best Director,Parasite
Anthony Hopkins,,,,,,,2021,Best Actor,The Father
Daniel Kaluuya,,,,,,,2021,Best Supporting Actor,Judas and the Black Messiah
Frances McDormand,,,,,,,2021,Best Actress,Nomadland
Yuh-Jung Youn,,,,,,,2021,Best Supporting Actress,Minari
Chloé Zhao,,,,,,,2021,Best Director,Nomadland
Will Smith,,,,,,,2022,Best Actor,King Richard
Troy Kotsur,,,,,,,2022,Best Supporting Actor,CODA
Jessica Chastain,,,,,,,2022,Best Actress,The Eyes of Tammy Faye
Ariana DeBose,,,,,,,2022,Best Supporting Actress,West Side Story
Jane Campion,,,,,,,2022,Best Director,The Power of the Dog
Brendan Fraser,,,,,,,2023,Best Actor,The Whale
Ke Huy Quan,,,,,,,2023,Best Supporting Actor,Everything Everywhere All at Once
Michelle Yeoh,,,,,,,2023,Best Actress,Everything Everywhere All at Once
Jamie Lee Curtis,,,,,,,2023,Best Supporting Actress,Everything Everywhere All at Once
Daniel Kwan and Daniel Scheinert,,,,,,,2023,Best Director,Everything Everywhere All at Once
Cillian Murphy,,,,,,,2024,Best Actor,Oppenheimer
Robert Downey Jr.,,,,,,,2024,Best Supporting Actor,Oppenheimer
Emma Stone,,,,,,,2024,Best Actress,Poor Things
Da'Vine Joy Randolph,,,,,,,2024,Best Supporting Actress,The Holdovers
Christopher Nolan,,,,,,,2024,Best Director,Oppenheimer
